model,set,clip,peak
hey_seeree.json,pos/jay,hey_seeree_0001.wav,0.179688
hey_seeree.json,pos/jay,hey_seeree_0002.wav,0.996094
hey_seeree.json,pos/jay,hey_seeree_0003.wav,0.824219
hey_seeree.json,pos/jay,hey_seeree_0004.wav,0.996094
hey_seeree.json,pos/jay,hey_seeree_0005.wav,0.996094
hey_seeree.json,pos/jay,hey_seeree_0006.wav,0.666406
hey_seeree.json,pos/jay,hey_seeree_0007.wav,0.896875
hey_seeree.json,pos/jay,hey_seeree_0008.wav,0.996094
hey_seeree.json,pos/jay,hey_seeree_0009.wav,0.996094
hey_seeree.json,pos/jay,hey_seeree_0010.wav,0.996094
hey_seeree.json,pos/jay,hey_seeree_0011.wav,0.975781
hey_seeree.json,pos/jay,hey_seeree_0012.wav,0.996094
hey_seeree.json,pos/jay,hey_seeree_0013.wav,0.994531
hey_seeree.json,pos/jay,hey_seeree_0014.wav,0.996094
hey_seeree.json,pos/jay,hey_seeree_0015.wav,0.996094
hey_seeree.json,pos/jay,hey_seeree_0016.wav,0.971875
hey_seeree.json,pos/jay,hey_seeree_0017.wav,0.996094
hey_seeree.json,pos/jay,hey_seeree_0018.wav,0.996094
hey_seeree.json,pos/jay,hey_seeree_0019.wav,0.992188
hey_seeree.json,pos/jay,hey_seeree_0020.wav,0.996094
hey_seeree.json,pos/jay,hey_seeree_0021.wav,0.996094
hey_seeree.json,pos/jay,hey_seeree_0022.wav,0.996094
hey_seeree.json,pos/jay,hey_seeree_0023.wav,0.996094
hey_seeree.json,pos/jay,hey_seeree_0024.wav,0.996094
hey_seeree.json,pos/jay,hey_seeree_0025.wav,0.996094
hey_seeree.json,pos/jay,hey_seeree_0026.wav,0.992969
hey_seeree.json,pos/jay,hey_seeree_0027.wav,0.936719
hey_seeree.json,pos/jay,hey_seeree_0028.wav,0.944531
hey_seeree.json,pos/jay,hey_seeree_0029.wav,0.691406
hey_seeree.json,pos/jay,hey_seeree_0030.wav,0.996094
hey_seeree.json,pos/jay,hey_seeree_0031.wav,0.990625
hey_seeree.json,pos/jay,hey_seeree_0032.wav,0.125000
hey_seeree.json,pos/jay,hey_seeree_0033.wav,0.975781
hey_seeree.json,pos/jay,hey_seeree_0034.wav,0.982812
hey_seeree.json,pos/jay,hey_seeree_0035.wav,0.996094
hey_seeree.json,pos/jen,hey_seeree_0039.wav,0.171094
hey_seeree.json,pos/jen,hey_seeree_0065.wav,0.994531
hey_seeree.json,pos/jen,hey_seeree_0077.wav,0.990625
hey_seeree.json,pos/jen,hey_seeree_0083.wav,0.996094
hey_seeree.json,pos/jen,hey_seeree_0095.wav,0.452344
hey_seeree.json,pos/jen,hey_seeree_0102.wav,0.996094
